flightDate,count
2022-04-17,8258
2022-04-18,16524
2022-04-19,30702
2022-04-20,41078
2022-04-21,45888
2022-04-22,53384
2022-04-23,53475
2022-04-24,51930
2022-04-25,70168
2022-04-26,107712
2022-04-27,102229
2022-04-28,101540
2022-04-29,112189
2022-04-30,123879
2022-05-01,105944
2022-05-02,138706
2022-05-03,179013
2022-05-04,176742
2022-05-05,170705
2022-05-06,181404
2022-05-07,187773
2022-05-08,174981
2022-05-09,208011
2022-05-10,246870
2022-05-11,237443
2022-05-12,222788
2022-05-13,229588
2022-05-14,216859
2022-05-15,205747
2022-05-16,248930
2022-05-17,275708
2022-05-18,269886
2022-05-19,270504
2022-05-20,263941
2022-05-21,259633
2022-05-22,238146
2022-05-23,294222
2022-05-24,327602
2022-05-25,307673
2022-05-26,299345
2022-05-27,299056
2022-05-28,284236
2022-05-29,314704
2022-05-30,285599
2022-05-31,318538
2022-06-01,358789
2022-06-02,365266
2022-06-03,344169
2022-06-04,315409
2022-06-05,318822
2022-06-06,379960
2022-06-07,404577
2022-06-08,397712
